timestamp,close,high,low,oi,open,volume
2025-10-01 14:15:00+05:30,238.0,238.2,229.2,4026225,235.0,33075
2025-10-01 14:20:00+05:30,243.0,244.95,237.7,4021050,238.0,65400
2025-10-01 14:25:00+05:30,244.15,247.05,238.5,4001625,243.0,96600
2025-10-01 14:30:00+05:30,246.9,248.3,240.25,4008525,244.3,80700
2025-10-01 14:35:00+05:30,246.05,251.5,245.5,4010700,247.0,113475
2025-10-01 14:40:00+05:30,248.45,251.15,245.0,4005675,245.75,52200
2025-10-01 14:45:00+05:30,251.5,251.5,245.15,4018650,248.75,94050
2025-10-01 14:50:00+05:30,246.4,251.5,243.0,4010400,251.5,76200
2025-10-01 14:55:00+05:30,244.25,248.0,239.5,3996975,245.5,81750
2025-10-01 15:00:00+05:30,241.1,247.0,240.1,4004325,244.0,72075
2025-10-01 15:05:00+05:30,237.5,244.45,236.1,4011000,242.75,71550
2025-10-01 15:10:00+05:30,238.45,239.65,236.0,4056075,237.1,122700
2025-10-01 15:15:00+05:30,243.1,244.0,238.1,4128450,238.45,168525
2025-10-01 15:20:00+05:30,241.85,243.1,239.15,4227600,243.1,263400
2025-10-01 15:25:00+05:30,248.0,248.95,241.75,4518825,241.85,542550
2025-10-03 09:15:00+05:30,214.45,243.8,205.85,4516275,212.0,283950
2025-10-03 09:20:00+05:30,212.3,219.45,209.7,4573800,213.55,147900
2025-10-03 09:25:00+05:30,210.0,214.25,198.5,4604025,211.35,191550
2025-10-03 09:30:00+05:30,205.75,213.0,200.9,4648725,209.9,88800
2025-10-03 09:35:00+05:30,209.25,210.0,201.0,4675275,206.5,64275
2025-10-03 09:40:00+05:30,213.8,216.4,207.7,4674750,209.25,87075
2025-10-03 09:45:00+05:30,215.4,215.45,206.45,4653150,213.8,65400
2025-10-03 09:50:00+05:30,224.65,226.35,213.75,4647900,215.0,157275
2025-10-03 09:55:00+05:30,227.85,230.1,223.3,4644375,224.65,97500
2025-10-03 10:00:00+05:30,221.05,229.45,219.25,4627425,227.85,68175
2025-10-03 10:05:00+05:30,214.25,222.65,213.85,4639575,221.05,58350
2025-10-03 10:10:00+05:30,212.95,218.1,210.3,4645875,214.25,85350
2025-10-03 10:15:00+05:30,208.55,213.55,205.5,4658325,212.95,103650
2025-10-03 10:20:00+05:30,208.0,213.75,205.45,4663050,208.55,35100
2025-10-03 10:25:00+05:30,218.95,219.0,206.9,4662225,208.0,31500
2025-10-03 10:30:00+05:30,220.7,222.05,216.55,4671375,218.95,51900
2025-10-03 10:35:00+05:30,221.0,221.4,216.65,4663875,220.7,24525
2025-10-03 10:40:00+05:30,207.0,222.6,206.0,4665225,221.0,43125
2025-10-03 10:45:00+05:30,207.9,209.0,202.5,4682475,207.0,62025
2025-10-03 10:50:00+05:30,210.75,212.8,206.8,4683000,207.9,29400
2025-10-03 10:55:00+05:30,211.25,213.9,209.5,4678500,210.75,29325
2025-10-03 11:00:00+05:30,213.15,216.9,208.5,4677150,211.25,25275
2025-10-03 11:05:00+05:30,215.6,219.1,210.15,4677675,213.15,22575
2025-10-03 11:10:00+05:30,219.95,220.0,214.1,4676175,215.6,27000
2025-10-03 11:15:00+05:30,224.3,229.05,219.8,4667025,219.95,137325
2025-10-03 11:20:00+05:30,222.35,227.55,220.25,4668300,224.3,35025
2025-10-03 11:25:00+05:30,218.0,224.35,217.5,4678650,222.35,18000
2025-10-03 11:30:00+05:30,223.5,224.4,217.0,4665075,218.0,44475
2025-10-03 11:35:00+05:30,222.2,226.1,220.6,4664400,223.4,15825
2025-10-03 11:40:00+05:30,222.3,226.5,220.0,4659075,222.2,13350
2025-10-03 11:45:00+05:30,223.45,224.85,218.25,4653975,222.3,15675
2025-10-03 11:50:00+05:30,223.7,226.0,222.75,4654200,223.45,19350
2025-10-03 11:55:00+05:30,221.45,224.0,220.0,4657725,223.7,9525
2025-10-03 12:00:00+05:30,224.6,224.95,221.45,4657875,221.45,10350
2025-10-03 12:05:00+05:30,232.9,234.8,224.35,4664250,224.6,96900
2025-10-03 12:10:00+05:30,229.6,232.9,227.15,4662075,232.9,44100
